variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,transformed_mean,scheme,algorithm,max_iter,max_iter_time,iter_cat
Binding_on,0.7969649456637662,0.79698737923831,0.022232241299147665,0.021786227073241148,0.7602934159692784,0.83229113506818575,1.001296690465106,432.6319221068789,480.4573120135862,0.779856731178124,scheme_10,DR,145494,1824813.384579034,8
Binding_off,2.9330211729394327,2.9346442963678383,0.03184223629223651,0.031311418117918814,2.880523824073402,2.9869457207496835,1.0009203317748263,472.1231043248358,486.33724012608735,2.9161817467527,scheme_10,DR,145494,1824813.384579034,8
Rocking_on,3.2316181030980093,3.2316373982988846,0.020122954095460246,0.019556494711647106,3.197160431737544,3.2634923677480643,0.9994386422291924,506.2427960832387,522.9682042625891,3.22603925896995,scheme_10,DR,145494,1824813.384579034,8
Rocking_off,2.199731543593979,2.1952643421223055,0.04963447196833227,0.04498383937435905,2.1310487230522956,2.284397489522318,0.9985919417976351,530.5778432944666,407.7556747312177,2.19646414253244,scheme_10,DR,145494,1824813.384579034,8
RB,1.1500009885058589,0.9891320301287966,0.5166858010420381,0.7067509566062815,0.45915247190413916,1.8758178955837912,1.01353860250187,448.8834368539254,420.2379159954424,0.542604853738615,scheme_10,DR,145494,1824813.384579034,8
RB_0,1.8649770612019403,0.5756778710095649,1.4661004439459737,0.37438195282179837,0.3559578096536088,3.5104363084317196,1.0069654278256883,498.2491223095935,470.59161599252826,0.354535758025786,scheme_10,DR,145494,1824813.384579034,8
RB_1,-0.19610343477722442,-0.5658428810124324,0.6949785973246844,0.9583236015787462,-1.111468901058796,0.7576584460191407,1.0154143760102232,486.01241591544135,469.8733704806096,-0.873593847263837,scheme_10,DR,145494,1824813.384579034,8
BR,1.1427191178293148,1.3696163293220884,0.5196718911904669,0.6743772390224498,0.4000322026543962,1.817705012820321,1.0080482486659104,474.45183672752154,421.45267165491197,1.75201880303399,scheme_10,DR,145494,1824813.384579034,8
BR_0,-0.17466848435024618,0.17043450426511575,0.6947339430177714,0.9632308540059114,-1.1328391010885248,0.6945979694150022,1.002696426010075,434.64969440006564,518.8468469424718,0.487604577566186,scheme_10,DR,145494,1824813.384579034,8
BR_1,1.9606012813314209,3.19148540820593,1.4674813510241096,0.5494774648958676,0.34831075196050765,3.5000505411812703,1.0117669781647538,525.2639107796415,487.94913089066034,3.52842019968409,scheme_10,DR,145494,1824813.384579034,8
Rocking_Current_factor,3.0615947744458643,3.0322101301288917,0.4732395750635535,0.45910154626426514,2.344917350913355,3.8776205448570713,1.0018829168715349,463.64086825704,364.35416539778686,3.05009079145792,scheme_10,DR,145494,1824813.384579034,8
Leakeage_current_ratio,-6.406429795141104,-6.360146132984166,0.93545103366972,0.9094469201109251,-7.9939887817831305,-4.995567285189816,1.0023326389173122,471.3414926750404,367.8992808197219,-6.38829714643819,scheme_10,DR,145494,1824813.384579034,8
Gating_Current,0.17224551144322806,0.1734125729041249,0.04404261410045254,0.04718321394051806,0.10267748780701091,0.24511349058038095,1.0012258854214229,530.2430596650744,413.0384879205003,0.284388764283251,scheme_10,DR,145494,1824813.384579034,8
Current_Noise,-3.5433454166375564,-3.5439995887403777,0.04362679459172926,0.04399783343765597,-3.611423426199276,-3.472483942812026,0.9998959736988814,531.8213563854429,480.45731201358643,-2.904787547275878,scheme_10,DR,145494,1824813.384579034,8
Pink_Noise,-0.26346800351245836,-0.2621253199975672,0.06915647726966931,0.06887446536401964,-0.38013776731825655,-0.15665637135138671,1.0003497649781719,524.0928679246969,453.95788252758894,-0.21232485574254,scheme_10,DR,145494,1824813.384579034,8
Current_Baseline,0.7388463432364903,0.7346756575239861,0.07227663808505479,0.06832859774924713,0.6215503095566888,0.8666121017676245,1.0138771066367582,364.8199923514124,391.3000408407374,0.724327165946924,scheme_10,DR,145494,1824813.384579034,8
Num_ch,3.1652918084008776,3.165942183873591,0.04686349169562674,0.04837271619068074,3.0877806444742415,3.239722595068884,1.0023932438112633,534.7997873592332,527.3699557808981,3.05554046515948,scheme_10,DR,145494,1824813.384579034,8
inactivation_rate,-3.468847575067747,-3.4686447356597663,0.028969924741922733,0.02825402537534274,-3.5173240722010597,-3.4204480775629955,0.9989091125343099,485.749640070932,517.2063019418173,-3.47408103436751,scheme_10,DR,145494,1824813.384579034,8
