variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,beta,scheme,algorithm,max_iter,max_iter_time,iter_cat,i_par
BR_0_dm,-0.019855026916245255,-0.01558519708179079,1.4081636423670036,1.423377644973681,-2.3463222646039035,2.270568652747918,0.99994668922233,5207.283788818076,4589.249809603281,0,scheme_10,DR,518670,3830339.458831209,6,9.5
BR_0_dm,-0.021536311444814844,-0.02176829006081543,1.4069632432147707,1.4295598639977702,-2.355111892674244,2.2899950634621424,0.9998694323521643,2035.3463207968803,1765.7917340383458,0,scheme_10,DR,518670,3830339.458831209,8,9.5
BR_0_dm,-0.9153387210492472,-0.8722492666358,0.25535673165507905,0.15845458084560457,-1.3207612724039346,-0.6407543559052291,1.0001050113203072,5267.276868110479,5166.776503466063,1,scheme_10,DR,518670,3830339.458831209,6,9.5
BR_0_dm,-0.9088503465322929,-0.8699549428041973,0.23571948159661343,0.15400166328545387,-1.2971126765609329,-0.6374156509364968,1.0011457245615643,2026.1242291109568,1710.5397992296573,1,scheme_10,DR,518670,3830339.458831209,8,9.5
BR_1,0.014725577968022546,0.004988533650891858,1.438906661553152,1.4397413422829521,-2.322796692442506,2.4362260888088705,0.9998793539585584,5302.550754910804,5008.541449578398,0,scheme_10,DR,518670,3830339.458831209,6,10
BR_1,0.013097151778847701,-0.01785567339243763,1.4322684449223562,1.4222525187877857,-2.257950948020894,2.3924875749525154,1.0001654285623645,2165.4578110061702,1908.7629775308685,0,scheme_10,DR,518670,3830339.458831209,8,10
BR_1,1.6672985079489628,0.4407740576209316,1.5668359929408424,0.2686391715805791,0.23094292643047998,3.656589947615707,1.0011685668725754,5256.256635551003,5031.700712544024,1,scheme_10,DR,518670,3830339.458831209,6,10
BR_1,1.613864430789935,0.432025329341608,1.5564484695265877,0.24081069708518582,0.23602255861790059,3.657840320275071,1.001037964816343,1931.4044024490743,1982.895851334193,1,scheme_10,DR,518670,3830339.458831209,8,10
BR_1_dm,0.0307969069574393,0.0072338896025961885,1.4413850919980755,1.443026455560324,-2.3160843628430374,2.4650370126427354,0.9998944047978329,5166.001079885345,4657.375316097388,0,scheme_10,DR,518670,3830339.458831209,6,10.5
BR_1_dm,0.05215449041741941,0.02847665905180374,1.418417419036981,1.452943602541033,-2.199490482506267,2.435022333631174,1.0001517456682247,1969.136444928119,1662.2762097465663,0,scheme_10,DR,518670,3830339.458831209,8,10.5
BR_1_dm,0.3537062404495984,0.35446364658381757,0.08723175411142808,0.08476438463503722,0.2072047285787994,0.49853212736273933,1.0005480871063919,4961.213154965341,4868.08981943268,1,scheme_10,DR,518670,3830339.458831209,6,10.5
BR_1_dm,0.35454784355283875,0.35404692426455053,0.08654922467031119,0.08289479735843874,0.2129219320486456,0.4955093272442448,1.0003125140834797,2027.9027599456354,1945.4979190061638,1,scheme_10,DR,518670,3830339.458831209,8,10.5
Rocking_Current_factor,1.9719705792663116,1.974524984974761,1.4203959794815022,1.4107026496362471,-0.36665060392758614,4.346347092619125,1.0002420260648448,5118.03732219714,5153.125300233946,0,scheme_10,DR,518670,3830339.458831209,6,11
Rocking_Current_factor,1.9692642800875941,1.96889298227183,1.383953805560614,1.3805069743034917,-0.3183958811703866,4.277809857026042,0.999814817306846,2052.2844357180816,2017.8310533653355,0,scheme_10,DR,518670,3830339.458831209,8,11
Rocking_Current_factor,3.068321608007763,3.0385824649319155,0.4721297503592593,0.47845279139998315,2.3464981921617296,3.880180857236915,0.9999193479479608,5257.171419423254,5240.774740464302,1,scheme_10,DR,518670,3830339.458831209,6,11
Rocking_Current_factor,3.0672571140469165,3.0292916684255937,0.4740755807670271,0.47453770136593754,2.3426520056405153,3.9050867789271466,1.0006939739339256,1881.0292872406421,1961.2265147191208,1,scheme_10,DR,518670,3830339.458831209,8,11
Leakeage_current_ratio,-5.986691512419617,-6.0134630451527675,1.429570472483339,1.437621053213869,-8.290363374892276,-3.5930433386071603,1.0001338903218573,5325.2674082385,5082.885058664527,0,scheme_10,DR,518670,3830339.458831209,6,12
Leakeage_current_ratio,-5.967975760375906,-5.999546089979814,1.404240577611358,1.395189177465556,-8.24696521127538,-3.5643966368809417,0.9995928760863441,2022.4067167438855,1886.2179893117727,0,scheme_10,DR,518670,3830339.458831209,8,12
Leakeage_current_ratio,-6.419947557990853,-6.359397712007283,0.9394761780520804,0.9526731243947951,-8.036711339467285,-4.975749148846793,0.9999940837985414,5250.143155314245,5281.889825208203,1,scheme_10,DR,518670,3830339.458831209,6,12
Leakeage_current_ratio,-6.419046205627378,-6.352937854593241,0.944098417661216,0.9477407200486311,-8.084701142876497,-4.973565274714388,1.0013341211402131,1877.8736461457186,1803.7789780620867,1,scheme_10,DR,518670,3830339.458831209,8,12
Gating_Current,0.03848859657090419,0.042306896306451514,1.4164484043694883,1.4266362278470544,-2.2495021727944247,2.385414374718583,1.000030244876617,5160.640422442172,5290.579198591778,0,scheme_10,DR,518670,3830339.458831209,6,13
Gating_Current,0.041083078374136626,0.08009381010103424,1.4249265076760345,1.4489118498518812,-2.2958074525856573,2.405673348056299,1.001203946312339,1924.7056842989514,1976.7783865729693,0,scheme_10,DR,518670,3830339.458831209,8,13
Gating_Current,0.2863005622996387,0.28567691760414077,0.048563649726885906,0.04730303535433362,0.20770633020030982,0.37078766131693375,0.9998766313718724,5566.699419316942,5201.856105637462,1,scheme_10,DR,518670,3830339.458831209,6,13
Gating_Current,0.28638684229662315,0.28581361595403854,0.048011809336280804,0.04746769817353788,0.2083633779325626,0.3707247893599662,0.999827829920097,2080.071163914625,1939.9775601586887,1,scheme_10,DR,518670,3830339.458831209,8,13
Current_Noise,-3.027168159831654,-3.0137939836036507,1.3940869467071324,1.4025965203614787,-5.293700198718807,-0.7245063374716573,1.0001514678676908,5088.635491297771,4985.075072146996,0,scheme_10,DR,518670,3830339.458831209,6,14
Current_Noise,-3.028529287656435,-3.0214440669705507,1.4061703661813145,1.4168784224658144,-5.346291672857028,-0.7382488940806398,1.0004914120409423,2032.4855189687019,2018.1462798825612,0,scheme_10,DR,518670,3830339.458831209,8,14
Current_Noise,-3.532013700135763,-3.532725558109604,0.04656434243559488,0.04712686003785349,-3.606853281791306,-3.453858827262196,0.9999239402815338,5272.786438712395,4669.393066872475,1,scheme_10,DR,518670,3830339.458831209,6,14
Current_Noise,-3.5313541080971933,-3.5325759252528908,0.046028667060388,0.04671810640536849,-3.60654948556562,-3.4533936475224403,1.0002170692717687,1969.869368440151,1853.3062648490766,1,scheme_10,DR,518670,3830339.458831209,8,14
Pink_Noise,0.7325486622088322,0.735183153285621,1.426927501067616,1.458982145280424,-1.5480570188419267,3.051257668323939,0.9998317024684815,5262.36670248971,5195.992534168602,0,scheme_10,DR,518670,3830339.458831209,6,15
Pink_Noise,0.7367052260716634,0.7367509436140964,1.4394882023356042,1.4594311993724698,-1.5234585769210787,3.1451070525265274,0.9997021319024892,1924.3560663703036,1837.8107874994355,0,scheme_10,DR,518670,3830339.458831209,8,15
Pink_Noise,-0.22061736625475745,-0.2144013340316128,0.0851787720331637,0.08068704630063309,-0.3674242515907447,-0.09462577457043068,1.000688387843881,5093.413939803841,4382.711994825168,1,scheme_10,DR,518670,3830339.458831209,6,15
Pink_Noise,-0.2186536072347726,-0.2140241447027409,0.08244565809111082,0.07691196782355231,-0.3599809718033896,-0.09536219189852975,0.9998966884017911,2077.2084425447038,1815.6753749978413,1,scheme_10,DR,518670,3830339.458831209,8,15
Current_Baseline,-0.008661751745928419,-0.008942584519753605,1.4100425438600799,1.4074400074135611,-2.3543210808613546,2.3352054260440194,0.99985795114501,5290.924119713399,4970.108448790021,0,scheme_10,DR,518670,3830339.458831209,6,16
Current_Baseline,-0.016594713705369173,3.439534236913122e-4,1.420291670019423,1.4239692976889853,-2.354310951734069,2.3542614542956035,0.9996564068540633,2014.95570527511,1961.5592000539702,0,scheme_10,DR,518670,3830339.458831209,8,16
Current_Baseline,0.7228513060857014,0.7239041052832664,0.08342340541223711,0.08223955307707816,0.5808616924338477,0.8577894614375865,0.999938424558966,5196.19059945609,5131.625051606073,1,scheme_10,DR,518670,3830339.458831209,6,16
Current_Baseline,0.7235153765982273,0.7247440276928949,0.08396355900393862,0.08331634429695359,0.5804990883874076,0.8578589807392416,1.0004898368962962,1765.3424968419095,2020.5537284656723,1,scheme_10,DR,518670,3830339.458831209,8,16
Num_ch,3.6719481078040563,3.6652828039090526,1.4501855069759035,1.452300056681105,1.3079743891974824,6.090771319113446,1.0001693237393623,5553.018368581088,5365.9945128289655,0,scheme_10,DR,518670,3830339.458831209,6,17
Num_ch,3.6890814411873722,3.6603711320199617,1.4574056292981792,1.4505079542639157,1.2460890219365564,6.067846448316473,0.9998259988272603,1858.621857918148,2017.3584925133218,0,scheme_10,DR,518670,3830339.458831209,8,17
Num_ch,3.0542605661467404,3.0551388915500595,0.05209119203923803,0.050979409835836466,2.9636261899023593,3.1376963635217097,0.9998620216561405,5574.641144878932,5239.249631858794,1,scheme_10,DR,518670,3830339.458831209,6,17
Num_ch,3.0538733389428763,3.0545767120412277,0.05135139750462926,0.050557371107528434,2.9626827974344585,3.137255367149658,0.9996170343319837,1996.3299918312352,1977.9902649850092,1,scheme_10,DR,518670,3830339.458831209,8,17
inactivation_rate,-5.007841353855425,-4.993267136736925,1.411597129976304,1.4368024145255818,-7.314444512157995,-2.7096131152066474,1.0006235750261712,4542.26302582954,4883.79085055817,0,scheme_10,DR,518670,3830339.458831209,6,18
inactivation_rate,-5.0495290507145665,-5.019621815987035,1.41342976020455,1.427551742335609,-7.441276474594414,-2.7896044444834756,1.0004915692435667,1682.6235461291271,1906.4481551836896,0,scheme_10,DR,518670,3830339.458831209,8,18
inactivation_rate,-3.4742674066613226,-3.4734132800978044,0.04832877352741243,0.034959461525777544,-3.530346966658856,-3.4168072145269326,1.0001258918516458,5434.855733170602,5409.470210818672,1,scheme_10,DR,518670,3830339.458831209,6,18
inactivation_rate,-3.475474230830218,-3.474094717519801,0.05764325095487527,0.035391818836857984,-3.531078956736315,-3.4151658757479337,0.9995737912115342,2048.72327187321,1757.9487586804814,1,scheme_10,DR,518670,3830339.458831209,8,18
RB_0_dm,-0.015895701735732768,-0.017805591751219284,1.4253808129939394,1.4316686915415509,-2.3061178090235357,2.3454960736571895,1.0003400629891273,5351.970692863038,5104.450170498478,0,scheme_10,DR,518670,3830339.458831209,6,6.5
RB_0_dm,-0.0648286023651796,-0.0688653078779174,1.4449864986514624,1.4033191773169136,-2.3783523501877575,2.289518855053233,1.0001392197077157,2019.0790121741097,1902.2421857967224,0,scheme_10,DR,518670,3830339.458831209,8,6.5
RB_0_dm,3.531400112866943,3.531574860559049,0.1165096374037234,0.11696684004939802,3.3407991291175807,3.7246556099405908,1.0000388143591017,5231.44596526933,5112.53125915867,1,scheme_10,DR,518670,3830339.458831209,6,6.5
RB_0_dm,3.5308497647252812,3.5304135035400748,0.11643956825514064,0.11629843249077476,3.347260705621568,3.7209223345832667,0.9997853199222881,2071.8100050509547,2041.4880626957784,1,scheme_10,DR,518670,3830339.458831209,8,6.5
