variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,scheme,algorithm,max_iter,max_time,iter_cat,cpus,processor
log_Evidence,-2575.91361610468,-2575.740576581126,4.059383980738038,3.962551563544116,-2582.836724848722,-2569.524417187325,1.0011713514435927,28964.287321159984,60033.03605292756,scheme_4_inactd,DR,773160,13.1696827856628,6,32,Xeon E5-2670
log_Evidence,-2576.06511863106,-2575.863673798286,4.087194278191206,3.9743649660289924,-2583.0877415400046,-2569.66678421499,1.000041873728031,20457.134128868478,19871.457681138305,scheme_4_inactd,DR,773160,13.1696827856628,8,32,Xeon E5-2670
log_Evidence,-2521.598284723989,-2521.347281953423,4.188710879617332,3.891758347415558,-2528.4402771569917,-2515.3820399063543,1.0000172581807365,16528.21371861669,15988.12860691026,scheme_9_inactd,DR,259578,11.622968860154849,6,32,Xeon E5-2670
log_Evidence,-2521.558622688472,-2521.274447307371,4.073763556200618,3.9259664377477757,-2528.2953734130338,-2515.3298612311396,1.0010125627461894,5331.0380924285,5194.986414049318,scheme_9_inactd,DR,259578,11.622968860154849,8,32,Xeon E5-2670
log_Evidence,-2490.7168881676603,-2490.5367132663296,4.09486211571906,3.9947879417095606,-2497.582324878021,-2484.4085221493947,1.0039872604570887,4119.309389052678,27846.693440480212,scheme_10_inactd,DR,519226,44.398368163948334,6,32,Xeon E5-2670
log_Evidence,-2490.4674955426385,-2490.327057961817,4.043213713504275,3.9564483570965323,-2497.245043806081,-2484.208914806026,1.000536668613046,8845.72719508805,10691.759996767512,scheme_10_inactd,DR,519226,44.398368163948334,8,32,Xeon E5-2670
log_Evidence,-2499.4473867402803,-2499.245481300838,3.9404084562183237,3.7557249077816057,-2505.9795037910617,-2493.3760300403737,1.006132225461711,4221.113135647776,14690.525106975974,scheme_11_inactd,DR,405649,43.79256245599876,6,32,Xeon E5-2670
log_Evidence,-2499.0138525801653,-2498.8688158821788,3.8775891763886463,3.746199137290295,-2505.430534895672,-2493.015364809782,1.0002031354921075,6310.937137974529,6417.862425890314,scheme_11_inactd,DR,405649,43.79256245599876,8,32,Xeon E5-2670
log_Evidence,-2777.1897899486116,-2776.933091374483,4.2353377701086545,3.5772976206322595,-2783.5152222192683,-2771.4157366573863,0.9999931695239171,43865.863255179,41249.67876450309,scheme_1_inact,DR,518451,47.76976479321528,6,16,AMD Opteron 6276
log_Evidence,-2777.212783516371,-2776.9194405479884,4.404548828245449,3.551971128707769,-2783.5796221021546,-2771.4348371198093,1.000360006383936,14363.457594979449,14124.572778506032,scheme_1_inact,DR,518451,47.76976479321528,8,16,AMD Opteron 6276
log_Evidence,-2747.649991261689,-2747.38243984163,4.279624318412868,3.755873133071296,-2754.2704872864906,-2741.643493664908,1.0001173936643353,43272.58228527469,43064.50967057633,scheme_2_inact,DR,528384,47.73624094054944,6,16,AMD Opteron 6276
log_Evidence,-2747.6271860967436,-2747.3150825798484,4.320544380943394,3.6962712485484146,-2754.268710261147,-2741.6435508355867,0.9999657743134801,14017.387688588271,13912.125278277877,scheme_2_inact,DR,528384,47.73624094054944,8,16,AMD Opteron 6276
log_Evidence,-2624.7517339329333,-2624.5703847661675,4.067573819340461,3.944514938829036,-2631.627471782039,-2618.4566215737104,1.0005311443475935,34777.858990214736,36550.69659146753,scheme_3_inact,DR,482120,47.256266388145576,6,16,AMD Opteron 6276
log_Evidence,-2624.9434157999094,-2624.738634963531,4.134723870397718,4.030324435406379,-2631.9810263011505,-2618.561968356244,1.0002667315978109,12150.10182647731,12249.872739649802,scheme_3_inact,DR,482120,47.256266388145576,8,16,AMD Opteron 6276
log_Evidence,-2578.654518386005,-2578.127836188116,5.401224845079594,5.259069911526591,-2588.1819272205175,-2570.78158549805,1.224936590641448,3.0944781592228976,15.70728203884219,scheme_4_inact,DR,399420,44.80232237700009,6,32,AMD Opteron 6276
log_Evidence,-2575.9399019374487,-2575.6664729078047,4.249668340299842,3.9979683773182746,-2583.19607435341,-2569.555133301318,1.0007180799110127,10394.536942588327,10117.560305309311,scheme_4_inact,DR,399420,44.80232237700009,8,32,AMD Opteron 6276
log_Evidence,-2576.2884911023875,-2576.08840426096,4.156597282663749,4.053381293519244,-2583.4033383282717,-2569.8827650391418,0.9999794879915758,43609.98817973239,43049.29896314147,scheme_5_inact,DR,524538,47.68615684162877,6,16,AMD Opteron 6276
log_Evidence,-2576.3167289403414,-2576.079166158481,4.1610796913873465,4.038836458349548,-2583.4801977533216,-2569.9613483915655,1.000006470553528,13903.969029969337,13843.164068801005,scheme_5_inact,DR,524538,47.68615684162877,8,16,AMD Opteron 6276
log_Evidence,-2492.927816382501,-2492.7836794298228,3.911906098675449,3.7258727426873053,-2499.363187975867,-2486.9041708932914,1.0147589053397272,50.847962176681115,12109.728006393894,scheme_6_inactd,DR,655492,47.232480417004915,6,16,Xeon E5-2670
